11/30/2021,1015,Thank God this works,T,IT WORKS
11/9/2021,1330,Another Test,F,Michael would not approve
11/1/2021,0959,First of the month,F,Testing
08/10/2021,1532,August Test,F,August Test
11/06/2021,1647,Reminder Checkbox,F,Checkbox Test
11/13/2021,0203,ReminderT,T,Reminder with True Setting
11/25/2021,0100,If this works, I'll cry,T,Testing 1, 2, 3...
11/18/2021,1300,If this works I'll cry,T,testtesttest
12/17/2021,0800,pls work,T,:):
12/01/2021,2359,FinalProjectDue,T,-
11/16/2021,4545,deleting soon,F,-
11/13/2021,1748,Nov13,F,Ridiculous
08/09/2021,1325,Testing reminders,T,Costco
10/13/2021,1625,Past Event Test,F,TEST
11/07/2021,1847,Nov7 Past Event,F,Costco
09/13/2021,0906,TEST REMOVE ON ME,F,Costco
11/02/2021,0504,Costco,F,-
11/03/2021,1030,Costco the sequel,F,-
11/29/2021,1440,Bring Bucees to SA,F,pls
11/30/2021,1880,BUCEES GANG,F,AYYYYYYYY
08/10/2021,1525,Sams Club Overrated,T,Facts
